d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,Massreihe_nach_ISO_355_ABMA,d,d1,B,C,r12_min,r34_min,a,da_max,db_min,Da_min,Da_max,Db_min,Ca_min,Cb_min,ra_max,rb_max,e,Y,Y0
70.0,125,41.0,247.0,285.0,32.5,3800,5000,2.1,33214,3EE,70,97.4,41.0,32.0,2.0,1.5,30,80,80.5,107,116.0,120,6,9.0,2.0,1.5,0.4,1.5,0.8
70.0,130,43.0,289.0,325.0,38.0,4000,5000,2.5,T2ED 070,2ED,70,98.1,42.0,35.0,3.0,2.5,30,81,82.5,111,119.0,123,7,8.0,3.0,2.5,0.33,1.8,1.0
70.0,140,39.0,219.0,240.0,27.5,3400,4500,2.65,T7FC 070,7FC,70,110.0,35.5,27.0,3.0,3.0,46,82,83.0,106,128.0,133,5,12.0,3.0,3.0,0.88,0.68,0.4
70.0,150,38.0,229.0,220.0,27.0,3400,4500,2.85,31314,7GB,70,111.0,35.0,25.0,3.0,2.5,45,85,83.0,118,139.0,141,5,13.0,3.0,2.5,0.83,0.72,0.4
70.0,150,38.0,271.0,260.0,31.0,3800,4500,2.95,30314,2GB,70,105.0,35.0,30.0,3.0,2.5,29,90,83.0,130,139.0,140,5,8.0,3.0,2.5,0.35,1.7,0.9
70.0,150,54.0,346.0,400.0,45.0,3400,4300,4.55,32314 B,5GD,70,113.0,51.0,42.0,3.0,2.5,43,85,83.0,115,139.0,141,7,12.0,3.0,2.5,0.54,1.1,0.6
70.0,150,54.0,363.0,380.0,45.0,3400,4500,4.3,32314,2GD,70,106.0,51.0,42.0,3.0,2.5,35,87,83.0,125,139.0,140,6,12.0,3.0,2.5,0.35,1.7,0.9
75.0,105,20.0,86.8,116.0,13.2,4800,5600,0.51,32915,2BC,75,89.7,20.0,16.0,1.0,1.0,18,82,83.5,98,97.0,101,4,4.0,1.0,1.0,0.33,1.8,1.0
75.0,115,25.0,130.0,163.0,18.6,4300,5300,0.91,32015 X,4CC,75,95.1,25.0,19.0,1.5,1.5,24,83,84.5,103,106.0,110,5,6.0,1.5,1.5,0.46,1.3,0.7
75.0,115,31.0,167.0,228.0,26.0,4300,5300,1.2,33015,2CE,75,95.0,31.0,25.5,1.5,1.5,23,84,84.5,104,106.0,110,6,5.5,1.5,1.5,0.3,2.0,1.1
75.0,120,31.0,170.0,216.0,25.0,4300,5300,1.3,JM 714249/210,M 714200,75,98.1,29.5,25.0,3.0,2.5,28,84,87.5,104,109.0,115,5,6.0,3.0,2.5,0.44,1.35,0.8
75.0,125,37.0,216.0,265.0,30.0,4000,5000,1.8,33115,3DE,75,100.0,37.0,29.0,2.0,1.5,28,84,85.5,109,116.0,120,6,8.0,2.0,1.5,0.4,1.5,0.8
75.0,130,27.25,171.0,176.0,20.4,4000,5000,1.4,30215,4DB,75,99.8,25.0,22.0,2.0,1.5,26,87,85.5,115,121.0,124,4,5.0,2.0,1.5,0.43,1.4,0.8
75.0,130,33.25,197.0,212.0,24.5,4000,5000,1.65,32215,4DC,75,100.0,31.0,27.0,2.0,1.5,29,85,85.5,114,121.0,125,4,6.0,2.0,1.5,0.43,1.4,0.8
75.0,130,41.0,255.0,300.0,34.0,3600,4800,2.2,33215,3DE,75,102.0,41.0,31.0,2.0,1.5,31,84,86.0,111,121.0,125,6,10.0,2.0,1.5,0.43,1.4,0.8
75.0,145,51.0,380.0,450.0,51.0,3600,4500,3.9,JH 415647/610,H 415600,75,111.0,51.0,42.0,3.0,2.5,35,89,88.0,123,134.0,139,9,9.0,3.0,2.5,0.37,1.6,0.9
75.0,145,52.0,364.0,450.0,50.0,3600,4500,3.95,T3FE 075,3FE,75,111.0,51.0,43.0,5.0,3.0,39,88,92.0,117,133.0,138,7,9.0,5.0,3.0,0.43,1.4,0.8
75.0,150,42.0,249.0,280.0,31.0,3200,4300,3.25,T7FC 075,7FC,75,116.0,38.0,29.0,3.0,3.0,50,88,88.0,114,138.0,143,5,13.0,3.0,3.0,0.88,0.68,0.4
75.0,160,40.0,255.0,245.0,29.0,3200,4300,3.4,31315,7GB,75,118.0,37.0,26.0,3.0,2.5,48,91,88.0,127,149.0,151,5,14.0,3.0,2.5,0.83,0.72,0.4
75.0,160,40.0,301.0,290.0,34.0,3400,4300,3.5,30315,2GB,75,112.0,37.0,31.0,3.0,2.5,30,96,88.0,139,149.0,149,5,9.0,3.0,2.5,0.35,1.7,0.9
75.0,160,58.0,410.0,475.0,53.0,3200,4000,5.55,32315 B,5GD,75,119.0,55.0,45.0,3.0,2.5,46,89,88.0,122,149.0,151,7,13.0,3.0,2.5,0.54,1.1,0.6
75.0,160,58.0,416.0,440.0,51.0,3200,4300,5.2,32315,2GD,75,113.0,55.0,45.0,3.0,2.5,37,92,88.0,133,149.0,149,7,13.0,3.0,2.5,0.35,1.7,0.9
80.0,110,20.0,89.7,125.0,14.0,4500,5600,0.54,32916,2BC,80,94.8,20.0,16.0,1.0,1.0,19,86,88.5,102,102.0,106,4,4.0,1.0,1.0,0.35,1.7,0.9
80.0,125,29.0,168.0,216.0,24.5,4000,5000,1.3,32016 X,3CC,80,103.0,29.0,22.0,1.5,1.5,26,90,90.0,112,116.0,120,6,7.0,1.5,1.5,0.43,1.4,0.8
80.0,125,36.0,207.0,285.0,32.0,4000,5000,1.65,33016,2CE,80,102.0,36.0,29.5,1.5,1.5,25,90,89.5,112,116.0,119,6,6.5,1.5,1.5,0.28,2.1,1.1
80.0,130,35.0,216.0,275.0,31.0,4000,4800,1.75,JM 515649/610,M 515600,80,104.0,34.0,28.5,3.0,2.5,28,90,93.0,114,119.0,124,6,6.5,3.0,2.5,0.4,1.5,0.8
80.0,130,37.0,221.0,280.0,31.0,4000,4800,1.85,33116,3DE,80,105.0,37.0,29.0,2.0,1.5,30,89,91.0,114,121.0,126,6,8.0,2.0,1.5,0.43,1.4,0.8
80.0,140,28.25,184.0,183.0,21.2,3800,4800,1.6,30216,3EB,80,105.0,26.0,22.0,2.5,2.0,27,92,92.0,124,130.0,132,4,6.0,2.5,2.0,0.43,1.4,0.8
80.0,140,35.25,228.0,245.0,28.5,3800,4500,2.05,32216,3EC,80,106.0,33.0,28.0,2.5,2.0,30,91,92.0,122,130.0,134,5,7.0,2.5,2.0,0.43,1.4,0.8
80.0,140,46.0,308.0,375.0,41.5,3400,4500,2.9,33216,3EE,80,110.0,46.0,35.0,2.5,2.0,34,90,92.0,119,130.0,135,7,11.0,2.5,2.0,0.43,1.4,0.8
80.0,160,45.0,280.0,315.0,35.5,3000,4000,4.0,T7FC 080,7FC,80,125.0,41.0,31.0,3.0,3.0,53,94,93.5,121,148.0,152,5,14.0,3.0,3.0,0.88,0.68,0.4
80.0,170,42.5,276.0,265.0,30.5,3000,4000,4.05,31316,7GB,80,125.0,39.0,27.0,3.0,2.5,51,97,93.5,134,159.0,159,5,15.5,3.0,2.5,0.83,0.72,0.4
80.0,170,42.5,333.0,320.0,36.5,3200,4000,4.15,30316,2GB,80,122.0,39.0,33.0,3.0,2.5,33,103,93.5,148,158.0,159,5,9.5,3.0,2.5,0.35,1.7,0.9
80.0,170,61.5,440.0,520.0,57.0,3200,3800,6.65,32316 B,5GD,80,128.0,58.0,48.0,3.0,2.5,49,97,93.5,130,159.0,160,7,13.5,3.0,2.5,0.54,1.1,0.6
80.0,170,61.5,404.0,500.0,56.0,3200,4000,6.2,32316,2GD,80,120.0,58.0,48.0,3.0,2.5,40,98,93.5,142,159.0,159,7,13.5,3.0,2.5,0.35,1.7,0.9
85.0,120,23.0,115.0,156.0,17.6,4000,5000,0.78,32917,2CC,85,101.0,23.0,18.0,1.5,1.5,21,93,94.5,111,111.0,115,4,5.0,1.5,1.5,0.33,1.8,1.0
85.0,130,29.0,171.0,224.0,25.5,3800,4800,1.35,32017 X,4CC,85,108.0,29.0,22.0,1.5,1.5,27,95,95.0,117,121.0,125,6,7.0,1.5,1.5,0.44,1.35,0.8
85.0,130,30.0,172.0,228.0,26.0,3800,4800,1.4,JM 716649/610,M 716600,85,107.0,29.0,24.0,3.0,2.5,29,94,98.0,115,119.0,125,5,6.0,3.0,2.5,0.44,1.35,0.8
85.0,130,36.0,223.0,310.0,34.5,3800,4800,1.75,33017,2CE,85,107.0,36.0,29.5,1.5,1.5,26,95,95.0,118,121.0,125,6,6.5,1.5,1.5,0.3,2.0,1.1
85.0,140,41.0,268.0,340.0,38.0,3600,4500,2.45,33117,3DE,85,112.0,41.0,32.0,2.5,2.0,32,95,97.0,122,130.0,135,7,9.0,2.5,2.0,0.4,1.5,0.8
85.0,150,30.5,216.0,220.0,25.5,3600,4300,2.05,30217,3EB,85,112.0,28.0,24.0,2.5,2.0,29,97,97.0,132,140.0,141,5,6.5,2.5,2.0,0.43,1.4,0.8
85.0,150,38.5,263.0,285.0,33.5,3600,4300,2.6,32217,3EC,85,113.0,36.0,30.0,2.5,2.0,33,97,97.0,130,140.0,142,5,8.5,2.5,2.0,0.43,1.4,0.8
85.0,150,49.0,353.0,430.0,48.0,3200,4300,3.55,33217,3EE,85,117.0,49.0,37.0,2.5,2.0,36,96,97.0,128,140.0,144,7,12.0,2.5,2.0,0.43,1.4,0.8
85.0,170,48.0,333.0,380.0,43.0,2800,3800,4.85,T7FC 085,7FC,85,132.0,45.0,33.0,4.0,4.0,53,100,100.0,131,156.0,161,6,15.0,4.0,4.0,0.79,0.76,0.4
85.0,180,44.5,297.0,285.0,32.0,2800,3800,4.6,31317,7GB,85,131.0,41.0,28.0,4.0,3.0,53,104,100.0,143,167.0,169,5,16.5,4.0,3.0,0.83,0.72,0.4
85.0,180,44.5,372.0,365.0,40.5,3000,3800,4.85,30317,2GB,85,126.0,41.0,34.0,4.0,3.0,34,108,100.0,156,167.0,167,5,10.5,4.0,3.0,0.35,1.7,0.9
85.0,180,63.5,417.0,560.0,62.0,3000,3600,7.6,32317 B,5GD,85,135.0,60.0,49.0,4.0,3.0,51,102,100.0,138,168.0,169,7,14.5,4.0,3.0,0.54,1.1,0.6
85.0,180,63.5,435.0,530.0,60.0,3000,3800,7.1,32317,2GD,85,127.0,60.0,49.0,4.0,3.0,41,103,100.0,150,167.0,167,7,14.5,4.0,3.0,0.35,1.7,0.9
90.0,125,23.0,119.0,166.0,18.3,4000,4800,0.83,32918,2CC,90,106.0,23.0,18.0,1.5,1.5,22,98,100.0,116,116.0,120,4,5.0,1.5,1.5,0.35,1.7,0.9
90.0,140,32.0,208.0,270.0,31.0,3600,4300,1.75,32018 X,3CC,90,115.0,32.0,24.0,2.0,1.5,29,100,101.0,125,131.0,134,6,8.0,2.0,1.5,0.43,1.4,0.8
90.0,140,39.0,266.0,355.0,39.0,3600,4500,2.2,33018,2CE,90,114.0,39.0,32.5,2.0,1.5,27,101,101.0,127,131.0,135,7,6.5,2.0,1.5,0.27,2.2,1.3
90.0,145,35.0,246.0,305.0,33.5,3600,4300,2.15,JM 718149 A/110 M 718100,,90,117.0,34.0,27.0,6.0,2.5,32,100,109.0,127,134.0,139,6,8.0,6.0,2.5,0.44,1.35,0.8
90.0,145,35.0,246.0,305.0,33.5,3600,4300,2.15,JM 718149/110,M 718100,90,117.0,34.0,27.0,3.0,2.5,32,100,103.0,127,134.0,139,6,8.0,3.0,2.5,0.44,1.35,0.8
90.0,150,45.0,310.0,390.0,43.0,3400,4300,3.1,33118,3DE,90,120.0,45.0,35.0,2.5,2.0,34,101,102.0,130,140.0,144,7,10.0,2.5,2.0,0.4,1.5,0.8
90.0,160,32.5,240.0,245.0,28.5,3400,4000,2.5,30218,3FB,90,120.0,30.0,26.0,2.5,2.0,31,104,102.0,140,150.0,150,5,6.5,2.5,2.0,0.43,1.4,0.8
90.0,160,42.5,309.0,340.0,38.0,3400,4000,3.35,32218,3FC,90,121.0,40.0,34.0,2.5,2.0,35,103,102.0,138,150.0,152,5,8.5,2.5,2.0,0.43,1.4,0.8
90.0,160,55.0,415.0,520.0,57.0,3000,4000,4.6,33218,3FE,90,125.0,55.0,42.0,2.5,2.0,40,101,102.0,135,150.0,154,8,13.0,2.5,2.0,0.43,1.4,0.8
90.0,190,46.5,283.0,315.0,35.5,2400,3400,5.4,31318,7GB,90,138.0,43.0,30.0,4.0,3.0,57,110,105.0,151,177.0,179,5,16.5,4.0,3.0,0.83,0.72,0.4
90.0,190,46.5,353.0,400.0,44.0,2600,3600,5.65,30318,2GB,90,133.0,43.0,36.0,4.0,3.0,36,114,105.0,165,177.0,176,6,10.5,4.0,3.0,0.35,1.7,0.9
90.0,190,67.5,487.0,610.0,65.5,2600,3600,8.4,32318,2GD,90,133.0,64.0,53.0,4.0,3.0,44,109,105.0,157,177.0,177,7,14.5,4.0,3.0,0.35,1.7,0.9
90.0,190,67.5,540.0,630.0,69.5,2800,3400,8.95,32318 B,5GD,90,141.0,64.0,53.0,4.0,3.0,55,107,105.0,145,177.0,179,7,14.5,4.0,3.0,0.54,1.1,0.6
95.0,130,23.0,121.0,173.0,18.6,3800,4500,0.86,32919,2CC,95,112.0,23.0,18.0,1.5,1.5,23,103,105.0,121,121.0,125,4,5.0,1.5,1.5,0.35,1.7,0.9
95.0,145,32.0,206.0,270.0,30.5,3400,4300,1.85,32019 X,4CC,95,120.0,32.0,24.0,2.0,1.5,31,106,106.0,130,136.0,140,6,8.0,2.0,1.5,0.44,1.35,0.8
95.0,145,39.0,272.0,375.0,40.5,3400,4300,2.3,33019,2CE,95,118.0,39.0,32.5,2.0,1.5,28,105,106.0,131,136.0,139,7,6.5,2.0,1.5,0.28,2.1,1.1
95.0,170,34.5,266.0,275.0,31.5,3200,3800,3.0,30219,3FB,95,126.0,32.0,27.0,3.0,2.5,32,110,108.0,149,158.0,159,5,7.5,3.0,2.5,0.43,1.4,0.8
95.0,170,45.5,348.0,390.0,43.0,3200,3800,4.1,32219,3FC,95,128.0,43.0,37.0,3.0,2.5,38,109,108.0,145,158.0,161,5,8.5,3.0,2.5,0.43,1.4,0.8
95.0,170,58.0,460.0,560.0,62.0,2800,3800,5.45,33219,3FE,95,132.0,58.0,44.0,3.0,2.5,42,107,108.0,144,158.0,163,9,14.0,3.0,2.5,0.4,1.5,0.8
95.0,200,49.5,314.0,355.0,39.0,2400,3400,6.3,31319,7GB,95,145.0,45.0,32.0,4.0,3.0,59,114,111.0,157,187.0,187,5,17.5,4.0,3.0,0.83,0.72,0.4
95.0,200,49.5,353.0,390.0,42.5,2600,3400,6.45,30319,2GB,95,139.0,45.0,38.0,4.0,3.0,38,119,111.0,172,187.0,184,7,11.5,4.0,3.0,0.35,1.7,0.9
95.0,200,71.5,535.0,670.0,72.0,2400,3400,9.8,32319,2GD,95,141.0,67.0,55.0,4.0,3.0,47,115,111.0,166,187.0,186,8,16.5,4.0,3.0,0.35,1.7,0.9
100.0,140,25.0,147.0,204.0,22.4,3400,4300,1.15,32920,2CC,100,119.0,25.0,20.0,1.5,1.5,23,110,110.0,131,131.0,135,5,5.0,1.5,1.5,0.33,1.8,1.0
100.0,145,24.0,154.0,190.0,20.8,3400,4300,1.2,T4CB 100,4CB,100,121.0,22.5,17.5,3.0,3.0,29,109,113.0,133,133.0,140,4,6.5,3.0,3.0,0.48,1.25,0.7
100.0,150,32.0,209.0,280.0,31.0,3200,4000,1.9,32020 X,4CC,100,125.0,32.0,24.0,2.0,1.5,32,110,111.0,134,141.0,144,6,8.0,2.0,1.5,0.46,1.3,0.7
100.0,150,39.0,278.0,390.0,41.5,3400,4000,2.4,33020,2CE,100,122.0,39.0,32.5,2.0,1.5,28,109,111.0,135,141.0,143,7,6.5,2.0,1.5,0.28,2.1,1.1
100.0,165,47.0,383.0,480.0,52.0,3200,3800,3.9,T2EE 100,2EE,100,129.0,46.0,39.0,3.0,3.0,35,111,113.0,145,152.0,157,7,8.0,3.0,3.0,0.31,1.9,1.1
100.0,180,37.0,304.0,320.0,36.0,3000,3600,3.65,30220,3FB,100,134.0,34.0,29.0,3.0,2.5,35,116,113.0,157,168.0,168,5,8.0,3.0,2.5,0.43,1.4,0.8
100.0,180,49.0,390.0,440.0,48.0,3000,3600,4.95,32220,3FC,100,136.0,46.0,39.0,3.0,2.5,40,115,113.0,154,168.0,171,5,10.0,3.0,2.5,0.43,1.4,0.8
100.0,180,63.0,532.0,655.0,71.0,2600,3600,6.75,33220,3FE,100,139.0,63.0,48.0,3.0,2.5,44,112,113.0,151,168.0,172,10,15.0,3.0,2.5,0.4,1.5,0.8
100.0,215,51.5,431.0,490.0,53.0,2400,3200,7.95,30320,2GB,100,149.0,47.0,39.0,4.0,3.0,40,128,116.0,184,202.0,197,6,12.5,4.0,3.0,0.35,1.7,0.9
100.0,215,56.5,399.0,465.0,51.0,2200,3000,8.6,31320 X,7GB,100,158.0,51.0,35.0,4.0,3.0,64,121,116.0,168,202.0,202,7,21.5,4.0,3.0,0.83,0.72,0.4
100.0,215,77.5,617.0,780.0,83.0,2200,3200,12.5,32320,2GD,100,152.0,73.0,60.0,4.0,3.0,51,123,116.0,177,202.0,200,8,17.5,4.0,3.0,0.35,1.7,0.9
105.0,145,25.0,149.0,212.0,22.8,3400,4000,1.2,32921,2CC,105,124.0,25.0,20.0,1.5,1.5,25,114,115.0,135,135.0,140,5,5.0,1.5,1.5,0.35,1.7,0.9
105.0,160,35.0,248.0,335.0,37.5,3200,3800,2.45,32021 X,4DC,105,132.0,35.0,26.0,2.5,2.0,34,116,117.0,143,149.0,154,6,9.0,2.5,2.0,0.44,1.35,0.8
105.0,160,43.0,303.0,430.0,45.5,3200,3800,3.0,33021,2DE,105,131.0,43.0,34.0,2.5,2.0,30,117,117.0,145,149.0,153,7,9.0,2.5,2.0,0.28,2.1,1.1
105.0,190,39.0,333.0,355.0,40.0,2800,3400,4.3,30221,3FB,105,143.0,36.0,30.0,3.0,2.5,37,123,118.0,165,178.0,177,5,9.0,3.0,2.5,0.43,1.4,0.8
105.0,190,53.0,443.0,510.0,55.0,2800,3400,6.0,32221,3FC,105,143.0,50.0,43.0,3.0,2.5,44,121,119.0,161,178.0,180,6,10.0,3.0,2.5,0.43,1.4,0.8
105.0,225,53.5,462.0,530.0,57.0,2200,3000,9.1,30321,2GB,105,155.0,49.0,41.0,4.0,3.0,41,133,121.0,193,212.0,206,7,12.5,4.0,3.0,0.35,1.7,0.9
105.0,225,58.0,429.0,500.0,53.0,2000,3000,9.65,31321 X,7GB,105,165.0,53.0,36.0,4.0,3.0,67,127,121.0,176,212.0,211,7,22.0,4.0,3.0,0.83,0.72,0.4
105.0,225,81.5,645.0,815.0,85.0,2000,3000,14.0,32321,2GD,105,158.0,77.0,63.0,4.0,3.0,53,129,121.0,185,212.0,209,9,18.5,4.0,3.0,0.35,1.7,0.9
110.0,150,25.0,154.0,224.0,24.0,3200,4000,1.25,32922,2CC,110,129.0,25.0,20.0,1.5,1.5,26,119,120.0,140,140.0,145,5,5.0,1.5,1.5,0.35,1.7,0.9
110.0,165,35.0,256.0,355.0,37.5,3000,3600,2.55,JM 822049/010,M 822000,110,137.0,35.0,26.5,3.0,2.5,37,119,123.0,145,153.0,158,6,8.5,3.0,2.5,0.5,1.2,0.7
110.0,170,38.0,288.0,390.0,40.0,3000,3600,3.05,32022 X,4DC,110,140.0,38.0,29.0,2.5,2.0,36,123,122.0,152,159.0,163,7,9.0,2.5,2.0,0.43,1.4,0.8
110.0,170,47.0,343.0,500.0,53.0,3000,3600,3.85,33022,2DE,110,139.0,47.0,37.0,2.5,2.0,33,123,122.0,152,159.0,161,7,10.0,2.5,2.0,0.28,2.1,1.1
110.0,180,56.0,455.0,630.0,65.5,2800,3400,5.5,33122,3EE,110,146.0,56.0,43.0,2.5,2.0,43,122,123.0,155,169.0,174,9,13.0,2.5,2.0,0.43,1.4,0.8
110.0,200,41.0,327.0,405.0,43.0,2600,3200,5.05,30222,3FB,110,149.0,38.0,32.0,3.0,2.5,39,129,124.0,174,188.0,187,6,9.0,3.0,2.5,0.43,1.4,0.8
110.0,200,56.0,491.0,570.0,61.0,2600,3200,7.1,32222,3FC,110,151.0,53.0,46.0,3.0,2.5,46,127,124.0,170,188.0,190,6,10.0,3.0,2.5,0.43,1.4,0.8
110.0,240,54.5,507.0,585.0,62.0,2200,2800,11.0,30322,2GB,110,166.0,50.0,42.0,4.0,3.0,42,142,126.0,206,226.0,220,8,12.5,4.0,3.0,0.35,1.7,0.9
110.0,240,63.0,491.0,585.0,61.0,1900,2800,12.0,31322 X,7GB,110,176.0,57.0,38.0,4.0,3.0,72,136,126.0,188,227.0,224,8,25.0,4.0,3.0,0.83,0.72,0.4
110.0,240,84.5,675.0,830.0,86.5,1900,2800,16.5,32322,2GD,110,169.0,80.0,65.0,4.0,3.0,55,138,126.0,198,227.0,222,9,19.5,4.0,3.0,0.35,1.7,0.9
120.0,165,29.0,204.0,305.0,32.0,3000,3600,1.8,32924,2CC,120,142.0,29.0,23.0,1.5,1.5,28,130,130.0,154,155.0,160,5,6.0,1.5,1.5,0.35,1.7,0.9
120.0,170,27.0,195.0,250.0,26.5,2800,3600,1.75,T4CB 120,4CB,120,143.0,25.0,19.5,3.0,3.0,34,131,133.0,157,157.0,164,5,7.5,3.0,3.0,0.48,1.25,0.7
120.0,180,38.0,299.0,415.0,42.5,2800,3400,3.3,32024 X,4DC,120,150.0,38.0,29.0,2.5,2.0,38,132,133.0,161,169.0,173,7,9.0,2.5,2.0,0.46,1.3,0.7
120.0,180,48.0,356.0,540.0,56.0,2800,3400,4.2,33024,2DE,120,149.0,48.0,38.0,2.5,2.0,36,132,133.0,160,169.0,171,6,10.0,2.5,2.0,0.3,2.0,1.1
120.0,215,43.5,417.0,465.0,49.0,2400,3000,6.15,30224,4FB,120,161.0,40.0,34.0,3.0,2.5,42,141,134.0,187,203.0,201,6,9.5,3.0,2.5,0.43,1.4,0.8
120.0,215,61.5,573.0,695.0,72.0,2400,3000,9.05,32224,4FD,120,164.0,58.0,50.0,3.0,2.5,51,137,134.0,181,203.0,204,7,11.5,3.0,2.5,0.43,1.4,0.8
120.0,260,59.5,601.0,710.0,73.5,2000,2600,13.5,30324,2GB,120,178.0,55.0,46.0,4.0,3.0,47,153,136.0,221,246.0,237,8,13.5,4.0,3.0,0.35,1.7,0.9
120.0,260,68.0,578.0,695.0,72.0,1700,2400,15.5,31324 X,7GB,120,191.0,62.0,42.0,4.0,3.0,78,146,136.0,203,246.0,244,9,26.0,4.0,3.0,0.83,0.72,0.4
120.0,260,90.5,855.0,1120.0,110.0,1800,2600,21.5,32324,2GD,120,181.0,86.0,69.0,4.0,3.0,59,148,136.0,213,246.0,239,10,21.5,4.0,3.0,0.35,1.7,0.9
130.0,180,32.0,245.0,365.0,38.0,2600,3200,2.4,32926,2CC,130,153.0,32.0,25.0,2.0,1.5,31,141,142.0,167,170.0,173,6,7.0,2.0,1.5,0.33,1.8,1.0
130.0,200,45.0,388.0,540.0,55.0,2400,3000,4.95,32026 X,4EC,130,165.0,45.0,34.0,2.5,2.0,42,144,143.0,178,189.0,192,7,11.0,2.5,2.0,0.43,1.4,0.8
130.0,200,55.0,470.0,680.0,69.5,2400,3000,6.15,33026,2EE,130,165.0,55.0,43.0,2.5,2.0,42,144,143.0,178,189.0,192,8,12.0,2.5,2.0,0.35,1.7,0.9
130.0,230,43.75,451.0,490.0,51.0,2200,2800,6.85,30226,4FB,130,173.0,40.0,34.0,4.0,3.0,44,152,146.0,203,216.0,217,6,9.5,4.0,3.0,0.43,1.4,0.8
130.0,230,67.75,590.0,830.0,85.0,2000,2800,11.0,32226,4FD,130,176.0,64.0,54.0,4.0,3.0,55,146,146.0,193,216.0,219,7,13.5,4.0,3.0,0.43,1.4,0.8
130.0,280,63.75,679.0,800.0,81.5,1800,2400,17.0,30326,2GB,130,192.0,58.0,49.0,5.0,4.0,50,165,149.0,239,264.0,255,8,14.5,5.0,4.0,0.35,1.7,0.9
130.0,280,72.0,647.0,780.0,80.0,1600,2400,18.5,31326 X,7GB,130,204.0,66.0,44.0,5.0,4.0,83,157,149.0,218,264.0,261,8,28.0,5.0,4.0,0.83,0.72,0.4
130.0,280,98.75,1019.0,1340.0,132.0,1600,2400,27.5,32326,2GD,130,196.0,93.0,78.0,5.0,5.0,65,160,149.0,230,262.0,260,10,20.5,5.0,5.0,0.35,1.7,0.9
140.0,190,32.0,252.0,390.0,40.0,2600,3000,2.55,32928,2CC,140,164.0,32.0,25.0,2.0,1.5,33,151,152.0,177,180.0,184,6,7.0,2.0,1.5,0.35,1.7,0.9
140.0,195,29.0,241.0,325.0,33.5,2400,3000,2.4,T4CB 140,4CB,140,165.0,27.0,21.0,3.0,3.0,40,150,154.0,180,182.0,189,6,8.0,3.0,3.0,0.5,1.2,0.7
140.0,210,45.0,404.0,585.0,58.5,2400,2800,5.25,32028 X,4DC,140,175.0,45.0,34.0,2.5,2.0,45,153,153.0,187,199.0,202,8,11.0,2.5,2.0,0.46,1.3,0.7
140.0,250,45.75,451.0,570.0,58.5,1900,2600,8.7,30228,4FB,140,187.0,42.0,36.0,4.0,3.0,47,164,156.0,219,236.0,234,8,9.5,4.0,3.0,0.43,1.4,0.8
140.0,250,71.75,691.0,1000.0,100.0,1900,2600,14.0,32228,4FD,140,191.0,68.0,58.0,4.0,3.0,59,159,156.0,210,236.0,238,8,13.5,4.0,3.0,0.43,1.4,0.8
140.0,300,67.75,787.0,950.0,93.0,1700,2200,20.5,30328,2GB,140,205.0,62.0,53.0,5.0,4.0,54,176,159.0,255,284.0,273,8,14.5,5.0,4.0,0.35,1.7,0.9
140.0,300,77.0,737.0,900.0,90.0,1500,2200,22.5,31328 X,7GB,140,220.0,70.0,47.0,5.0,4.0,90,169,159.0,235,284.0,280,9,30.0,5.0,4.0,0.83,0.72,0.4
140.0,300,107.75,1220.0,1660.0,156.0,1600,2200,34.5,32328,2GD,140,212.0,102.0,85.0,5.0,4.0,71,172,159.0,247,284.0,280,12,22.5,5.0,4.0,0.35,1.7,0.9
150.0,210,32.0,287.0,390.0,40.0,2200,2800,3.1,T4DB 150,4DB,150,177.0,30.0,23.0,3.0,3.0,41,162,164.0,194,196.0,203,5,9.0,3.0,3.0,0.46,1.3,0.7
150.0,210,38.0,346.0,530.0,52.0,2200,2800,3.95,32930,2DC,150,177.0,38.0,30.0,2.5,2.0,35,163,163.0,194,198.0,202,7,8.0,2.5,2.0,0.33,1.8,1.0
150.0,225,48.0,456.0,655.0,65.5,2200,2600,6.4,32030 X,4DC,150,187.0,48.0,36.0,3.0,2.5,48,165,164.0,200,212.0,216,8,12.0,3.0,2.5,0.46,1.3,0.7
150.0,225,59.0,487.0,865.0,85.0,2200,2600,8.05,33030,2EE,150,188.0,59.0,46.0,3.0,2.5,48,165,164.0,200,212.0,217,8,13.0,3.0,2.5,0.37,1.6,0.9
150.0,270,49.0,455.0,560.0,57.0,1800,2400,10.5,30230,4GB,150,200.0,45.0,38.0,4.0,3.0,50,176,167.0,234,256.0,250,9,11.0,4.0,3.0,0.43,1.4,0.8
150.0,270,77.0,782.0,1140.0,112.0,1700,2400,18.0,32230,4GD,150,205.0,73.0,60.0,4.0,3.0,64,171,167.0,226,256.0,254,8,17.0,4.0,3.0,0.43,1.4,0.8
150.0,320,72.0,879.0,1060.0,104.0,1600,2000,25.0,30330,2GB,150,223.0,65.0,55.0,5.0,4.0,58,189,169.0,273,303.0,292,9,17.0,5.0,4.0,0.35,1.7,0.9
150.0,320,82.0,832.0,1020.0,100.0,1400,2000,27.0,31330 X,7GB,150,234.0,75.0,50.0,5.0,4.0,96,181,169.0,251,304.0,300,9,32.0,5.0,4.0,0.83,0.72,0.4
160.0,220,32.0,257.0,415.0,41.5,2200,2600,3.25,T4DB 160,4DB,160,187.0,30.0,23.0,3.0,3.0,44,172,174.0,204,206.0,213,5,9.0,3.0,3.0,0.48,1.25,0.7
